16/12/2015;9,5555
17/12/2015;9,511
18/12/2015;9,5
21/12/2015;9,5585
22/12/2015;9,543
23/12/2015;9,527
28/12/2015;9,538
29/12/2015;9,5115
30/12/2015;9,616
31/12/2015;9,619
04/01/2016;9,6475
05/01/2016;9,588
06/01/2016;9,6225
07/01/2016;9,6975
08/01/2016;9,681
11/01/2016;9,677
12/01/2016;9,6388
13/01/2016;9,5588
14/01/2016;9,6071
15/01/2016;9,6085
18/01/2016;9,6878
19/01/2016;9,6209
20/01/2016;9,665
21/01/2016;9,7033
22/01/2016;9,4685
25/01/2016;9,4585
26/01/2016;9,4858
27/01/2016;9,4508
28/01/2016;9,4465
29/01/2016;9,4845
01/02/2016;9,416
02/02/2016;9,5223
03/02/2016;9,5138
04/02/2016;9,5375
05/02/2016;9,5665
08/02/2016;9,5885
09/02/2016;9,6705
10/02/2016;9,6195
11/02/2016;9,7085
12/02/2016;9,6773
15/02/2016;9,6313
16/02/2016;9,6049
17/02/2016;9,5955
18/02/2016;9,5235
19/02/2016;9,5358
22/02/2016;9,493
23/02/2016;9,459
24/02/2016;9,5858
25/02/2016;9,5413
26/02/2016;9,5245
29/02/2016;9,5043
01/03/2016;9,407
02/03/2016;9,422
03/03/2016;9,4245
04/03/2016;9,383
07/03/2016;9,3583
08/03/2016;9,4285
09/03/2016;9,3964
10/03/2016;9,2926
11/03/2016;9,436
14/03/2016;9,414
15/03/2016;9,48
16/03/2016;9,502
17/03/2016;9,4768
18/03/2016;9,4111
21/03/2016;9,4428
22/03/2016;9,447
23/03/2016;9,442
29/03/2016;9,4839
30/03/2016;9,43
31/03/2016;9,4145
01/04/2016;9,4401
04/04/2016;9,4359
05/04/2016;9,4995
06/04/2016;9,476
07/04/2016;9,4546
08/04/2016;9,4183
11/04/2016;9,3809
12/04/2016;9,3515
13/04/2016;9,3113
14/04/2016;9,264
15/04/2016;9,3044
18/04/2016;9,3325
19/04/2016;9,2578
20/04/2016;9,2336
21/04/2016;9,2015
22/04/2016;9,2443
25/04/2016;9,2735
26/04/2016;9,2278
27/04/2016;9,2013
28/04/2016;9,246
29/04/2016;9,215
02/05/2016;9,233
03/05/2016;9,309
04/05/2016;9,341
06/05/2016;9,3513
09/05/2016;9,333
10/05/2016;9,352
11/05/2016;9,3475
12/05/2016;9,232
13/05/2016;9,2678
18/05/2016;9,2785
19/05/2016;9,3593
20/05/2016;9,3355
23/05/2016;9,3658
24/05/2016;9,3355
25/05/2016;9,2945
26/05/2016;9,247
27/05/2016;9,282
30/05/2016;9,3025
31/05/2016;9,32
01/06/2016;9,3083
02/06/2016;9,336
03/06/2016;9,2853
06/06/2016;9,2935
07/06/2016;9,2225
08/06/2016;9,2055
09/06/2016;9,2489
10/06/2016;9,2725
13/06/2016;9,3265
14/06/2016;9,3655
15/06/2016;9,3415
16/06/2016;9,3798
17/06/2016;9,431
20/06/2016;9,3575
21/06/2016;9,3718
22/06/2016;9,3555
23/06/2016;9,2993
24/06/2016;9,42
27/06/2016;9,4045
28/06/2016;9,3785
29/06/2016;9,3065
30/06/2016;9,3008
01/07/2016;9,2975
04/07/2016;9,2538
05/07/2016;9,3197
06/07/2016;9,3517
07/07/2016;9,3782
08/07/2016;9,393
11/07/2016;9,4061
12/07/2016;9,3499
13/07/2016;9,3145
14/07/2016;9,3247
15/07/2016;9,3183
18/07/2016;9,3627
19/07/2016;9,3489
20/07/2016;9,3552
21/07/2016;9,3541
22/07/2016;9,3847
25/07/2016;9,4102
26/07/2016;9,437
27/07/2016;9,4387
28/07/2016;9,4405
29/07/2016;9,5092
01/08/2016;9,4455
02/08/2016;9,4363
03/08/2016;9,4236
04/08/2016;9,4118
05/08/2016;9,4022
08/08/2016;9,4065
09/08/2016;9,357
10/08/2016;9,2571
11/08/2016;9,2293
12/08/2016;9,1635
15/08/2016;9,1752
16/08/2016;9,2101
17/08/2016;9,2812
18/08/2016;9,2389
19/08/2016;9,3048
22/08/2016;9,3281
23/08/2016;9,2875
24/08/2016;9,246
25/08/2016;9,2771
26/08/2016;9,2501
29/08/2016;9,2731
30/08/2016;9,2873
31/08/2016;9,2765
01/09/2016;9,305
02/09/2016;9,317
05/09/2016;9,2458
06/09/2016;9,2113
07/09/2016;9,1943
08/09/2016;9,195
09/09/2016;9,247
12/09/2016;9,2713
13/09/2016;9,2315
14/09/2016;9,2748
15/09/2016;9,2648
16/09/2016;9,2625
